step,pp_loss,fsdp_loss,abs_delta
253,3.939651,3.996917,0.057265
254,3.966244,3.990983,0.024739
255,4.158825,4.166254,0.007429
256,3.736436,3.738341,0.001905
257,4.178607,4.172655,0.005952
258,3.586319,3.582879,0.003440
259,4.199688,4.191005,0.008683
260,3.689686,3.710411,0.020725
261,3.695559,3.687036,0.008523
262,4.163236,4.147923,0.015314
263,4.238891,4.260963,0.022072
264,4.520957,4.503333,0.017624
265,4.535952,4.570157,0.034205
266,3.829560,3.852029,0.022469
267,3.778346,3.810062,0.031716
268,3.939790,3.978276,0.038486
269,3.522436,3.547527,0.025091
270,3.782454,3.779919,0.002535
271,3.392589,3.361849,0.030740
272,3.969347,3.955947,0.013400
273,4.232735,4.229283,0.003451
274,3.686986,3.710924,0.023939
275,3.809528,3.847062,0.037533
276,4.034408,4.039704,0.005297
277,3.954889,3.956054,0.001165
278,4.208965,4.204797,0.004168
279,4.182281,4.198216,0.015935
280,3.756734,3.727290,0.029444
281,3.878822,3.888039,0.009216
282,3.617907,3.645134,0.027227
283,4.062531,4.067017,0.004485
284,3.824148,3.811195,0.012953
285,3.990812,3.989267,0.001545
286,3.798870,3.806232,0.007362
287,3.978221,4.000292,0.022071
288,4.319616,4.329802,0.010186
289,4.184069,4.225521,0.041452
290,3.530343,3.543663,0.013320
291,3.536760,3.548141,0.011382
292,4.069156,4.029730,0.039426
293,3.990189,4.002367,0.012179
294,3.699332,3.660098,0.039234
295,3.786383,3.808239,0.021857
296,3.612541,3.604748,0.007794
297,4.351398,4.400922,0.049524
298,3.879144,3.893777,0.014633
299,3.931427,3.912881,0.018545
300,4.335541,4.349596,0.014055
301,4.263815,4.303157,0.039342
302,4.025074,4.079874,0.054800
303,4.248501,4.267259,0.018758
304,4.039467,4.029246,0.010221
305,3.949851,3.992653,0.042802
306,3.997458,4.012883,0.015425
307,3.660310,3.683140,0.022830
308,3.899226,3.908407,0.009181
309,3.351013,3.403457,0.052444
310,3.750394,3.752093,0.001699
311,4.133300,4.138011,0.004710
312,3.914817,3.938581,0.023764
313,3.716793,3.713150,0.003643
314,3.945022,3.971484,0.026462
315,4.019881,4.056408,0.036527
316,3.996511,4.012825,0.016313
317,3.936658,4.008381,0.071723
318,3.694547,3.695286,0.000739
319,3.867290,3.920653,0.053364
320,3.969214,3.961390,0.007824
321,4.203852,4.206278,0.002426
322,3.640671,3.684885,0.044214
323,3.894661,3.920858,0.026196
324,4.045722,4.004091,0.041631
325,3.806891,3.782577,0.024315
326,3.657550,3.644130,0.013420
327,3.775123,3.780998,0.005875
328,4.263338,4.303279,0.039941
329,3.886364,3.903823,0.017459
330,3.588724,3.584803,0.003921
331,4.238530,4.218286,0.020245
332,3.885454,3.883477,0.001977
333,3.941761,3.948021,0.006259
334,3.651160,3.668530,0.017370
335,3.653722,3.669887,0.016166
336,3.534848,3.577333,0.042485
337,3.621390,3.625042,0.003652
338,4.251023,4.273779,0.022757
339,3.670750,3.698755,0.028005
340,3.981231,4.018542,0.037312
341,3.977723,3.983217,0.005494
342,4.046634,4.057297,0.010663
343,3.899044,3.936553,0.037509
344,3.660145,3.689512,0.029368
345,3.722773,3.766767,0.043994
346,4.099889,4.151364,0.051476
347,3.973476,4.009387,0.035911
348,3.621936,3.642137,0.020201
349,3.931392,3.933223,0.001831
350,3.840174,3.878989,0.038815
351,3.641531,3.709332,0.067801
352,3.513448,3.550764,0.037316
353,4.101170,4.100921,0.000249
354,3.901369,3.902834,0.001465
355,4.370932,4.382287,0.011354
356,3.862395,3.871749,0.009355
357,4.042761,4.028280,0.014481
358,3.746783,3.724629,0.022154
359,3.968577,3.935909,0.032668
360,3.749121,3.752828,0.003707
361,3.977993,3.960137,0.017855
362,3.855226,3.876787,0.021562
363,3.673521,3.638060,0.035462
364,3.664660,3.647528,0.017132
365,3.992834,4.011694,0.018860
366,4.094560,4.106288,0.011728
367,3.787254,3.793973,0.006718
368,3.772386,3.754030,0.018356
369,3.734856,3.754567,0.019712
370,4.005678,4.017828,0.012150
371,4.119596,4.110741,0.008856
372,3.709757,3.732464,0.022707
373,3.700664,3.714631,0.013967
374,3.881178,3.880579,0.000599
375,3.866836,3.852580,0.014256
376,3.691205,3.674881,0.016323
377,4.024441,4.064139,0.039699
378,3.745669,3.730293,0.015376
379,3.843566,3.867046,0.023480
380,3.575027,3.587727,0.012700
381,3.944347,3.906799,0.037548
382,3.963644,3.939656,0.023988
383,4.060685,4.037843,0.022842
384,3.427374,3.425488,0.001886
385,3.817463,3.852626,0.035163
386,3.455558,3.442772,0.012786
387,3.875206,3.824147,0.051058
388,3.353899,3.380611,0.026712
389,3.704130,3.720827,0.016697
390,4.004486,4.020419,0.015933
391,3.795033,3.774835,0.020198
392,4.048289,4.065453,0.017163
393,4.065494,4.083864,0.018370
394,4.548209,4.632090,0.083880
395,4.334022,4.314763,0.019258
396,3.895113,3.939086,0.043972
397,3.746651,3.737385,0.009266
398,3.928358,3.942859,0.014501
399,3.858116,3.859294,0.001178
400,4.146627,4.182096,0.035468
401,4.340886,4.389057,0.048171
402,4.130778,4.128829,0.001949
403,3.651963,3.671065,0.019102
404,3.671854,3.684961,0.013107
405,3.362309,3.400554,0.038245
406,3.822289,3.873865,0.051576
407,3.753142,3.781905,0.028763
408,3.973007,3.982453,0.009446
409,3.654136,3.617708,0.036428
410,3.857192,3.905219,0.048028
411,3.739557,3.756701,0.017144
412,4.074690,4.041865,0.032825
413,3.876218,3.841740,0.034478
414,3.888624,3.874462,0.014162
415,3.567278,3.566594,0.000684
416,3.751345,3.805824,0.054479
417,4.015873,4.052651,0.036777
418,3.938202,3.943157,0.004955
419,3.969470,3.966843,0.002627
420,4.220304,4.182343,0.037961
421,3.931568,3.954183,0.022615
422,4.108202,4.122259,0.014057
423,3.535621,3.550209,0.014588
424,3.701447,3.694076,0.007371
425,3.807178,3.865873,0.058695
426,4.116899,4.103677,0.013223
427,3.596820,3.633958,0.037138
428,3.354390,3.368165,0.013776
429,4.061831,4.070663,0.008832
430,3.750943,3.734340,0.016603
431,3.864518,3.887763,0.023245
432,4.627513,4.660040,0.032526
433,3.632728,3.639801,0.007073
434,3.860840,3.885108,0.024268
435,4.228828,4.260015,0.031187
436,3.970920,3.985572,0.014652
437,3.928615,3.913449,0.015166
438,3.567732,3.549013,0.018719
439,4.051584,4.097438,0.045854
440,3.781346,3.765826,0.015519
441,3.832179,3.837611,0.005432
442,3.994924,3.978492,0.016431
443,3.997235,4.001113,0.003878
444,4.258965,4.233503,0.025461
445,4.238328,4.212354,0.025974
446,3.581131,3.579963,0.001168
447,4.262007,4.280252,0.018244
448,4.025495,4.031023,0.005528
449,4.208715,4.208352,0.000363
450,4.054669,4.086495,0.031826
451,3.843147,3.847088,0.003941
452,3.681645,3.660489,0.021156
453,3.419346,3.400123,0.019223
454,3.571568,3.608094,0.036527
455,3.604529,3.598603,0.005926
456,3.935318,3.912884,0.022434
457,3.955213,3.997377,0.042164
458,4.080904,4.106915,0.026011
459,3.822989,3.822205,0.000785
460,3.551215,3.586724,0.035509
461,3.907811,3.918413,0.010602
462,3.873897,3.873843,0.000054
463,3.778400,3.785060,0.006660
464,4.680029,4.641943,0.038086
465,3.768476,3.718974,0.049502
466,3.820458,3.817015,0.003443
467,3.767237,3.755046,0.012191
468,3.604782,3.596830,0.007952
469,3.895877,3.879897,0.015981
470,4.575667,4.562529,0.013138
471,3.912846,3.912119,0.000727
472,3.709488,3.742180,0.032691
473,3.783696,3.779892,0.003804
474,3.336116,3.345435,0.009319
475,3.814705,3.820754,0.006049
476,3.621851,3.632239,0.010388
477,3.594074,3.571532,0.022541
478,3.439230,3.456374,0.017144
479,3.692451,3.733160,0.040709
480,3.747225,3.747365,0.000141
481,3.561511,3.575008,0.013498
482,3.774348,3.779032,0.004683
483,3.693386,3.690589,0.002797
484,3.693502,3.710521,0.017019
485,4.489833,4.476903,0.012930
486,3.754381,3.735113,0.019268
487,3.504933,3.528054,0.023121
488,3.912354,3.942450,0.030097
489,3.384513,3.340716,0.043797
490,3.310634,3.317065,0.006432
491,3.648783,3.659827,0.011044
492,3.897953,3.897988,0.000035
493,3.978298,3.977787,0.000511
494,3.389507,3.371695,0.017813
495,3.518568,3.539491,0.020923
496,3.453667,3.438886,0.014781
497,3.860317,3.849166,0.011151
498,3.688580,3.705710,0.017130
499,3.740732,3.736617,0.004115
500,3.489571,3.522715,0.033144
