tok_embeddings.weight norm=1.5377819538e-01
layers.6._checkpoint_wrapped_module.attention_norm.weight norm=5.2869436331e-04
layers.6._checkpoint_wrapped_module.ffn_norm.weight norm=3.9561815560e-02
layers.6._checkpoint_wrapped_module.attention_res_norm.weight norm=1.5573321434e-04
layers.6._checkpoint_wrapped_module.attention_res_proj.weight norm=7.9172812402e-03
layers.6._checkpoint_wrapped_module.ffn_res_norm.weight norm=1.0405533947e-02
layers.6._checkpoint_wrapped_module.ffn_res_proj.weight norm=5.0115263462e-01
layers.7._checkpoint_wrapped_module.attention.wq_a.weight norm=9.3836877495e-03
layers.7._checkpoint_wrapped_module.attention.q_norm.weight norm=1.8409185577e-04
layers.7._checkpoint_wrapped_module.attention.wq_b.weight norm=9.4224624336e-03
layers.7._checkpoint_wrapped_module.attention.wkv_a.weight norm=1.6274558008e-01
layers.7._checkpoint_wrapped_module.attention.kv_norm.weight norm=3.0280766077e-03
layers.7._checkpoint_wrapped_module.attention.wkv_b.weight norm=1.5638643503e-01
layers.7._checkpoint_wrapped_module.attention.gate.weight norm=2.7925267816e-02
layers.7._checkpoint_wrapped_module.attention.wo.weight norm=1.5478058159e-01
layers.7._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=1.2452008724e+00
layers.7._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=1.2473070621e+00
layers.7._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=1.2350091934e+00
layers.7._checkpoint_wrapped_module.moe.router.gate.weight norm=1.8278490007e-01
layers.7._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=5.1264363527e-01
layers.7._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=3.4049850702e-01
layers.7._checkpoint_wrapped_module.moe.routed_down.weight norm=1.7193470001e+00
layers.7._checkpoint_wrapped_module.moe.routed_norm.weight norm=2.3956304416e-02
layers.7._checkpoint_wrapped_module.moe.routed_up.weight norm=1.2282409668e+00
layers.7._checkpoint_wrapped_module.attention_norm.weight norm=3.3870693296e-03
layers.7._checkpoint_wrapped_module.ffn_norm.weight norm=3.7206273526e-02
layers.7._checkpoint_wrapped_module.attention_res_norm.weight norm=1.1850012233e-03
layers.7._checkpoint_wrapped_module.attention_res_proj.weight norm=5.8149669319e-02
layers.7._checkpoint_wrapped_module.ffn_res_norm.weight norm=1.0911888443e-02
layers.7._checkpoint_wrapped_module.ffn_res_proj.weight norm=5.5557924509e-01
layers.8._checkpoint_wrapped_module.delta_attention.A_log norm=6.8204426498e-05
layers.8._checkpoint_wrapped_module.delta_attention.dt_bias norm=3.7634163164e-04
layers.8._checkpoint_wrapped_module.delta_attention.q_proj.weight norm=1.2497060932e-02
layers.8._checkpoint_wrapped_module.delta_attention.k_proj.weight norm=1.2412029319e-02
layers.8._checkpoint_wrapped_module.delta_attention.v_proj.weight norm=1.2538706884e-02
layers.8._checkpoint_wrapped_module.delta_attention.q_conv.weight norm=1.2481329963e-02
layers.8._checkpoint_wrapped_module.delta_attention.k_conv.weight norm=1.2571299449e-02
layers.8._checkpoint_wrapped_module.delta_attention.v_conv.weight norm=1.2472597882e-02
layers.8._checkpoint_wrapped_module.delta_attention.forget_a.weight norm=2.6104864664e-03
layers.8._checkpoint_wrapped_module.delta_attention.forget_b.weight norm=2.6705975179e-03
layers.8._checkpoint_wrapped_module.delta_attention.beta.weight norm=3.4267695155e-03
layers.8._checkpoint_wrapped_module.delta_attention.output_gate.weight norm=3.4860568121e-03
layers.8._checkpoint_wrapped_module.delta_attention.output_norm.weight norm=2.2982939845e-04
layers.8._checkpoint_wrapped_module.delta_attention.output_proj.weight norm=1.2562863529e-02
layers.8._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w1_EFD norm=1.1013518572e+00
layers.8._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w2_EDF norm=1.0828707218e+00
layers.8._checkpoint_wrapped_module.moe.routed_experts.inner_experts.w3_EFD norm=1.1028444767e+00
layers.8._checkpoint_wrapped_module.moe.router.gate.weight norm=2.1438974142e-01
layers.8._checkpoint_wrapped_module.moe.shared_experts.w13.weight norm=4.5632979274e-01
layers.8._checkpoint_wrapped_module.moe.shared_experts.w2.weight norm=3.3479931951e-01
layers.8._checkpoint_wrapped_module.moe.routed_down.weight norm=1.5579878092e+00
layers.8._checkpoint_wrapped_module.moe.routed_norm.weight norm=2.1941613406e-02
layers.8._checkpoint_wrapped_module.moe.routed_up.weight norm=1.0989791155e+00
layers.8._checkpoint_wrapped_module.attention_norm.weight norm=4.5392301399e-04
layers.8._checkpoint_wrapped_module.ffn_norm.weight norm=3.3857453614e-02
layers.8._checkpoint_wrapped_module.attention_res_norm.weight norm=1.6143446555e-04
