step,pp_loss,fsdp_loss,abs_delta
401,3.852098,3.906758,0.054660
402,4.269659,4.236903,0.032756
403,4.055510,4.040256,0.015254
404,4.595780,4.606928,0.011147
405,3.996966,4.023265,0.026300
406,4.015630,4.015544,0.000086
407,3.775339,3.759815,0.015524
408,4.086036,4.141714,0.055678
409,3.822375,3.826471,0.004096
410,3.758458,3.772630,0.014171
411,3.514143,3.508581,0.005562
412,3.491224,3.510696,0.019473
413,3.686625,3.673633,0.012992
414,4.282166,4.255165,0.027000
415,3.717595,3.695283,0.022312
416,4.093309,4.081632,0.011677
417,3.864756,3.874141,0.009385
418,3.691202,3.708348,0.017146
419,4.008647,3.994564,0.014083
420,3.947425,3.917992,0.029433
421,3.530138,3.548328,0.018191
422,4.216265,4.170888,0.045377
423,3.988728,3.983416,0.005312
424,3.867377,3.863799,0.003579
425,4.080092,4.075385,0.004707
426,3.603760,3.595787,0.007973
427,4.018626,4.021255,0.002628
428,4.391787,4.366617,0.025169
429,3.765552,3.773132,0.007580
430,3.469501,3.432244,0.037257
431,4.253865,4.230270,0.023595
432,3.983583,3.977368,0.006215
433,3.790439,3.811460,0.021021
434,3.482657,3.515160,0.032502
435,3.862244,3.887280,0.025036
436,3.887709,3.859200,0.028509
437,4.337084,4.355473,0.018389
438,4.320541,4.297737,0.022805
439,3.580982,3.582434,0.001453
440,3.335913,3.334906,0.001008
441,4.227848,4.164287,0.063561
442,3.994564,3.984538,0.010026
443,3.974408,3.997277,0.022869
444,3.882444,3.877732,0.004712
445,3.562857,3.552191,0.010666
446,3.422302,3.431648,0.009345
447,4.025902,4.010930,0.014972
448,3.416063,3.398288,0.017775
449,3.568480,3.564790,0.003690
450,4.076752,4.069990,0.006762
451,4.268686,4.239738,0.028949
452,3.527146,3.531728,0.004582
453,3.889429,3.865443,0.023986
454,4.211417,4.185796,0.025621
455,3.925713,3.930433,0.004719
456,4.043563,4.038206,0.005357
457,4.022686,4.022413,0.000273
458,3.434794,3.459678,0.024884
459,3.909395,3.915456,0.006060
460,3.642489,3.664440,0.021951
461,4.255480,4.253919,0.001561
462,3.413483,3.438805,0.025322
463,4.267140,4.269673,0.002533
464,3.539243,3.505575,0.033668
465,3.869462,3.872134,0.002671
466,3.842135,3.833090,0.009044
467,3.634797,3.654065,0.019268
468,3.872358,3.876787,0.004429
469,3.484201,3.466472,0.017729
470,3.639228,3.652683,0.013454
471,4.466625,4.430907,0.035718
472,3.858960,3.813706,0.045254
473,4.890100,4.885929,0.004170
474,3.392123,3.356454,0.035669
475,3.873635,3.885004,0.011369
476,4.121411,4.105497,0.015914
477,3.547483,3.555380,0.007898
478,3.839644,3.817142,0.022502
479,4.218125,4.208778,0.009347
