act per layer per 8K micro-batch (report recipe, estimate): 1.63 GiB
params: experts 92 x 29.6 B + MTP 30.2 B

=== H100: HBM 74.5 GiB, NVLink domain 8, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
| 32 x 1 | 16 | 2 | 32 | 2.9 | 34 (r3) | 183 (64) | 149 | 15.5 | 25 | 83% | 7 / 21 |
| 32 x 1 | 32 | 2 | 32 | 2.9 | 24 (r3) | 183 (64) | 149 | 15.5 | 35 | 77% | 11 / 21 |
| 32 x 1 | 64 | 2 | 32 | 2.9 | 19 (r3) | 183 (64) | 149 | 15.5 | 40 | 73% | 12 / 21 |
| 32 x 1 | 8 | 8 | 32 | 2.9 | 53 (r3) | 183 (64) | 37 | 3.9 | 18 | 53% | 0 / 5 |
| 32 x 1 | 16 | 8 | 32 | 2.9 | 32 (r3) | 183 (64) | 37 | 3.9 | 38 | 0% | 2 / 5 |
| 32 x 1 | 32 | 8 | 32 | 2.9 | 22 (r3) | 183 (64) | 37 | 3.9 | 49 | 0% | 3 / 5 |
| 32 x 1 | 64 | 8 | 32 | 2.9 | 17 (r3) | 183 (64) | 37 | 3.9 | 54 | 0% | 3 / 5 |

=== GB300: HBM 268.2 GiB, NVLink domain 72, IB 50 GB/s per GPU
TP candidates (divide 96 heads, inside one NVLink domain, at most 8): [1, 2, 3, 4, 6, 8]
| PP x VP | EP | TP | stages | layers/stage | static GiB (rank) | layer x mb in flight (M) | acts no offload GiB | AttnRes+hidden (lower bound) GiB | headroom for acts GiB | acts that must leave HBM | EP IB ms / layer fwd ms |
|---|---:|---:|---:|---:|---|---|---:|---:|---:|---:|---|
| 2 x 4 | 16 | 1 | 8 | 11.6 | 237 (r1) | 105 (16) | 171 | 15.5 | 16 | 91% | 0 / 17 |
| 2 x 4 | 32 | 1 | 8 | 11.6 | 152 (r0) | 105 (16) | 171 | 15.5 | 101 | 41% | 0 / 17 |
| 2 x 4 | 64 | 1 | 8 | 11.6 | 110 (r0) | 105 (16) | 171 | 15.5 | 143 | 17% | 0 / 17 |
| 2 x 4 | 16 | 2 | 8 | 11.6 | 210 (r1) | 105 (16) | 86 | 7.8 | 50 | 41% | 0 / 9 |
| 2 x 4 | 32 | 2 | 8 | 11.6 | 124 (r1) | 105 (16) | 86 | 7.8 | 136 | 0% | 0 / 9 |
| 2 x 4 | 64 | 2 | 8 | 11.6 | 81 (r0) | 105 (16) | 86 | 7.8 | 179 | 0% | 0 / 9 |
| 2 x 4 | 16 | 8 | 8 | 11.6 | 190 (r1) | 105 (16) | 21 | 1.9 | 76 | 0% | 0 / 2 |
| 2 x 4 | 32 | 8 | 8 | 11.6 | 104 (r1) | 105 (16) | 21 | 1.9 | 162 | 0% | 0 / 2 |
| 2 x 4 | 64 | 8 | 8 | 11.6 | 61 (r1) | 105 (16) | 21 | 1.9 | 205 | 0% | 0 / 2 |
| 2 x 6 | 16 | 1 | 12 | 7.8 | 237 (r1) | 101 (16) | 165 | 22.9 | 8 | 95% | 0 / 17 |
| 2 x 6 | 32 | 1 | 12 | 7.8 | 152 (r0) | 101 (16) | 165 | 22.9 | 94 | 43% | 0 / 17 |
| 2 x 6 | 64 | 1 | 12 | 7.8 | 110 (r0) | 101 (16) | 165 | 22.9 | 136 | 18% | 0 / 17 |
| 2 x 6 | 16 | 2 | 12 | 7.8 | 210 (r1) | 101 (16) | 82 | 11.4 | 47 | 44% | 0 / 9 |
| 2 x 6 | 32 | 2 | 12 | 7.8 | 124 (r1) | 101 (16) | 82 | 11.4 | 133 | 0% | 0 / 9 |
| 2 x 6 | 64 | 2 | 12 | 7.8 | 81 (r0) | 101 (16) | 82 | 11.4 | 175 | 0% | 0 / 9 |
